Year,Product,Rep,Type,North,South,East,West
2016,3DS,NaBaGa,Act,0,0,0.05,0
2011,PSP,FaCo,Rol,0,0,0.02,0
2016,Wii,MaEn,Mis,0.14,0.11,0,0.03
2016,One,MaEn,Mis,0.17,0.05,0,0.02
2015,360,FiGa,Spo,0,0.16,0,0.02
2015,Wii,FiGa,Mis,0,0.07,0,0.01
2015,360,FiGa,Mis,0,0.06,0,0.01
2014,Wii,MaEn,Spo,1.54,1.07,0,0.28
2013,Wii,FiGa,Spo,3.5,2.64,0,0.67
2013,360,FiGa,Spo,1.74,0.48,0,0.18
2013,PS3,FiGa,Spo,0.28,0.21,0,0.09
2011,DS,ElAr,Mis,0.09,0.03,0,0.01
1998,PS,Me,Puz,0.03,0.02,0,0
2005,GBA,AcEn,Puz,0.03,0.01,0,0
2005,GC,AcEn,Puz,0.02,0,0,0
2014,DS,Ac,Mis,0.1,0.02,0,0.01
2011,DS,FiGa,Sim,0.03,0,0,0
2006,PC,MiGaSt,Str,0.03,0.02,0,0.01
2008,DS,TH,Str,0.86,0.04,0.01,0.08
2011,PC,MiGaSt,Str,0.04,0.18,0,0.04
2011,DS,TH,Str,0.24,0.03,0,0.02
2007,PC,MiGaSt,Str,0,0.05,0,0.01
2016,One,MiGaSt,Sim,0.18,0.13,0,0.03
2016,360,MiGaSt,Sim,0.02,0.07,0,0.01
2004,PC,MiGaSt,Str,0,0.03,0,0.01
2014,3DS,Ub,Sim,0.11,0.09,0.03,0.02
2011,DS,JoPr,Puz,0.05,0,0,0
2007,DS,IgEn,Puz,0.1,0.01,0.05,0.01
2010,DS,EiIn,Sim,0.03,0,0,0
2011,Wii,MaEn,Sim,0.14,0.01,0,0.01
2004,GBA,KoDiEn,Rol,0.04,0.02,0,0
2006,PTwo,KoDiEn,Sim,0.15,0.12,0.11,0.04
2015,PS3,KoDiEn,Sim,0.21,0.08,0.09,0.05
2015,360,KoDiEn,Sim,0.14,0.04,0.01,0.02
2004,PTwo,KoDiEn,Sho,0.3,0.24,0.13,0.08
2015,WiiU,Ub,Act,0.53,0.36,0.05,0.08
2019,PFour,Ub,Act,0,0.04,0.01,0.01
2009,PTwo,EsGa,Act,0,0,0.02,0
2018,PFour,ReDe,Sho,0.04,0.12,0,0.03
2018,One,ReDe,Sho,0.04,0.05,0,0.01
2014,DS,Ch,Act,0,0,0.04,0
2006,GBA,ToCo,Rol,0.06,0.02,0,0
2006,GC,ToCo,Act,0.12,0.03,0,0
2009,DS,ToCo,Rol,0,0,0.02,0
2010,360,TaTo,Str,0.08,0,0,0.01
2010,DS,TH,Act,0.02,0,0,0
2004,PS,En,Act,0.02,0.01,0,0
2016,PS3,NiIcSo,Rol,0,0,0.02,0
2012,PSP,TeKo,Rol,0,0,0.06,0
2014,DS,Ac,Sim,0.13,0.04,0,0.01
2014,DS,Ac,Mis,0.07,0,0,0.01
2013,Wii,Ac,Sim,0.32,0.03,0,0.03
2013,DS,Ac,Sim,0.41,0.11,0,0.04
2013,DS,Ac,Sim,0.68,0.27,0,0.09
2014,DS,Ac,Sim,0.07,0.01,0,0.01
2012,PSP,IrSoEn,Act,0,0,0.07,0
2010,DS,HuSo,Rol,0,0,0.07,0
2013,PSP,KaEn,Mis,0,0,0.02,0
2013,PSP,NiIcSo,Rol,0.07,0,0.06,0.01
1998,SNES,MeRi,Rac,0,0,0.1,0
1997,SNES,MeRi,Spo,0,0,0.36,0
,Wii,Ni,Act,0,0,0.08,0
2010,PTwo,MaIn,Adv,0,0,0.02,0
2010,PTwo,MaIn,Adv,0,0,0.02,0
2011,PTwo,MaIn,Adv,0,0,0.01,0
2019,3DS,AkGa,Adv,0.04,0,0.01,0.01
2019,PSV,AkGa,Adv,0.03,0,0.02,0.01
2015,3DS,RiStGa,Adv,0.03,0,0,0
1998,PS,Oc,Fig,0.03,0.02,0,0
2011,DS,GaFa,Puz,0.1,0.01,0,0.01
2011,DS,GaFa,Puz,0.11,0.01,0,0.01
2002,PS,HuEn,Fig,0,0,0.12,0.01
1998,SNES,Ba,Rac,0,0,0.04,0
2011,Wii,Ja,Rac,0,0,0.03,0
2010,DS,EiIn,Puz,0.05,0,0,0
1990,NES,Ni,Adv,2.19,0.5,1.61,0.08
2008,PTwo,TaIn,Adv,0.06,0.05,0,0.02
2008,XB,TaIn,Adv,0.02,0,0,0
2008,GC,NaBaGa,Fig,0.03,0.01,0,0
2008,PTwo,NaBaGa,Fig,0.04,0.03,0,0.01
2008,GC,NaBaGa,Fig,0.05,0.01,0,0
2006,GBA,Ba,Fig,0.02,0.01,0,0
2005,PTwo,In,Pla,0.08,0.06,0,0.02
2005,GBA,In,Pla,0.1,0.04,0,0
2005,GC,In,Pla,0.1,0.03,0,0
2005,XB,In,Pla,0.04,0.01,0,0
2013,Wii,Ni,Act,0,0,0.11,0
2009,DS,IEIn,Mis,0,0,0.66,0
2012,DS,RoCo,Mis,0,0,0.06,0
2010,DS,RoCo,Mis,0,0,0.33,0
2009,DS,RoCo,Mis,0,0,0.67,0
2010,Wii,Ni,Adv,0.18,0.17,0.03,0.04
2013,DS,KoDiEn,Adv,0,0,0.04,0
2019,PSV,NiIcSo,Rol,0,0,0.02,0
2013,PSP,SoCoEn,Str,0,0,0.11,0
2014,3DS,NaBaGa,Str,0,0,0.06,0
1997,GEN,Se,Fig,0,0,0.08,0
2009,DS,TaTo,Act,0,0,0.02,0
1997,SNES,NaBaGa,Fig,0,0,0.31,0
1996,SNES,NaBaGa,Fig,0,0,0.36,0
2016,3DS,AgEn,Pla,0,0,0.03,0
2013,DS,KoDiEn,Sim,0,0,0.03,0
2011,DS,Se,Sim,0,0,0.02,0
2018,PSV,Fu,Act,0,0,0.04,0
2003,GB,KoDiEn,Rol,0,0,2.17,0.01
2016,3DS,KoDiEn,Mis,0,0.08,0.08,0.01
2006,GBA,KoDiEn,Mis,0.68,0.25,0,0.02
2007,GBA,KoDiEn,Mis,0.4,0.15,0,0.01
2010,DS,KoDiEn,Str,0.13,0.02,0.12,0.01
2010,DS,KoDiEn,Str,0,0.01,0.04,0
2009,GBA,KoDiEn,Mis,0.14,0.05,0.07,0.01
2005,GBA,KoDiEn,Rol,0,0,0.26,0.01
2005,GBA,KoDiEn,Rol,0.84,0.27,0,0.05
2005,GBA,KoDiEn,Rol,0.94,0.35,0,0.02
2005,GC,KoDiEn,Str,0.49,0.13,0.07,0.02
2004,GBA,KoDiEn,Mis,0,0,0.4,0.01
2004,GBA,KoDiEn,Str,1.64,0.36,0,0.07
2004,PTwo,KoDiEn,Mis,1.16,0.91,0,0.3
2007,XB,KoDiEn,Str,0.23,0.07,0,0.01
2006,GBA,KoDiEn,Str,0.4,0.15,0,0.01
2008,DS,KoDiEn,Act,0.15,0,0,0
2008,DS,KoDiEn,Act,0,0.04,0.1,0
2003,GB,KoDiEn,Rol,0,0,0.14,0
2001,PS,KoDiEn,Rol,0,0,0.26,0.02
2010,PTwo,KoDiEn,Str,0.05,0.04,0,0.01
2010,PTwo,KoDiEn,Str,0,0,0.02,0
2011,PSP,KoDiEn,Str,0,0.03,0.18,0.01
2010,PSP,KoDiEn,Str,0.03,0.2,0.1,0.11
2009,PSP,KoDiEn,Str,0.09,0.03,0,0.02
2009,DS,KoDiEn,Mis,0,0,0.05,0
2009,DS,KoDiEn,Mis,0.18,0.03,0,0.02
2008,GBA,KoDiEn,Mis,0.17,0.06,0,0
2002,PS,KoDiEn,Rol,0,0,0.45,0.03
