item_name,item_id,item_category_id
iname0,0,40
iname1,1,76
iname2,2,40
iname3,3,40
iname4,4,40
iname5,5,40
iname6,6,40
iname7,7,40
iname8,8,40
iname9,9,40
iname10,10,40
iname11,11,40
iname12,12,55
iname13,13,40
iname14,14,40
iname15,15,40
iname16,16,40
iname17,17,40
iname18,18,40
iname19,19,40
iname20,20,40
iname21,21,40
iname22,22,40
iname23,23,40
iname24,24,40
iname25,25,40
iname26,26,40
iname27,27,19
iname28,28,30
iname29,29,23
iname30,30,40
iname31,31,37
iname32,32,40
iname33,33,37
iname34,34,40
iname35,35,40
iname36,36,37
iname37,37,40
iname38,38,41
iname39,39,41
iname40,40,57
iname41,41,57
iname42,42,57
iname43,43,40
iname44,44,57
iname45,45,57
iname46,46,57
iname47,47,57
iname48,48,57
iname49,49,57
iname50,50,57
iname51,51,57
iname52,52,57
iname53,53,57
iname54,54,57
iname55,55,43
iname56,56,57
iname57,57,57
iname58,58,78
iname59,59,57
iname60,60,43
iname61,61,43
iname62,62,37
iname63,63,40
iname64,64,40
iname65,65,37
iname66,66,37
iname67,67,40
iname68,68,30
iname69,69,54
iname70,70,49
iname71,71,37
iname72,72,40
iname73,73,40
iname74,74,37
iname75,75,40
iname76,76,37
iname77,77,40
iname78,78,40
iname79,79,40
iname80,80,37
iname81,81,40
iname82,82,37
iname83,83,40
iname84,84,40
iname85,85,37
iname86,86,40
iname87,87,37
iname88,88,40
iname89,89,40
iname90,90,40
iname91,91,37
iname92,92,37
iname93,93,43
iname94,94,40
iname95,95,40
iname96,96,40
iname97,97,40
iname98,98,40
iname99,99,37
iname100,100,40
iname101,101,78
iname102,102,76
iname103,103,76
iname104,104,76
iname105,105,30
iname106,106,30
iname107,107,44
iname108,108,44
iname109,109,57
iname110,110,44
iname111,111,57
iname112,112,44
iname113,113,57
iname114,114,44
iname115,115,57
iname116,116,57
iname117,117,44
iname118,118,44
iname119,119,44
iname120,120,44
iname121,121,44
iname122,122,44
iname123,123,44
iname124,124,44
iname125,125,44
iname126,126,44
iname127,127,44
iname128,128,44
iname129,129,44
iname130,130,44
iname131,131,44
iname132,132,44
iname133,133,45
iname134,134,45
iname135,135,45
iname136,136,45
iname137,137,44
iname138,138,45
iname139,139,45
iname140,140,45
iname141,141,44
iname142,142,45
iname143,143,45
iname144,144,44
iname145,145,44
iname146,146,44
iname147,147,44
iname148,148,44
iname149,149,45
iname150,150,44
iname151,151,45
iname152,152,45
iname153,153,45
iname154,154,45
iname155,155,45
iname156,156,45
iname157,157,44
iname158,158,44
iname159,159,44
iname160,160,44
iname161,161,44
iname162,162,45
iname163,163,44
iname164,164,44
iname165,165,45
iname166,166,45
iname167,167,44
iname168,168,44
iname169,169,44
